Name,Leadership,Administration,Teaching,Knowledge,Wisdom,Prophecy,Discernment,Exhortation,Shepherding,Faith,Evangelism,Apostleship,Service/Helps,Mercy,Giving,Hospitality
Lorence,20,18,20,22,21,20,24,24,23,22,20,17,24,23,21,23
Hazel,20,22,22,20,25,24,24,25,25,24,25,25,25,22,24,25
Fea,17,14,19,22,14,19,21,17,13,17,13,13,17,17,19,17
Ate Mailyn,20,19,13,22,18,16,19,23,25,23,21,23,22,18,15,24
Jen,16,20,19,20,22,22,20,25,20,22,24,23,24,25,25,24
Ate Jhen,16,16,15,17,17,16,17,18,15,22,16,17,22,16,21,22
Ate Shirley,20,21,20,24,17,21,18,22,22,23,23,24,23,19,25,24
Nikka,17,18,17,16,18,16,19,22,20,18,20,18,23,18,22,23
Charmaine,19,22,20,21,20,16,23,21,20,22,17,17,24,19,23,20
Lalaine,16,15,18,20,22,13,11,21,25,20,25,17,14,21,16,25
Alex,17,18,18,17,16,15,18,18,15,20,16,16,19,19,15,19
Adrian,18,18,16,18,17,20,17,20,19,17,18,16,22,21,20,20
Nine,12,15,12,14,11,9,10,15,13,14,12,11,18,16,17,15
Kuya Ver,18,16,12,17,17,16,16,15,13,21,15,16,20,14,14,17
Liezel,16,21,18,20,16,12,16,17,16,17,12,14,18,16,17,21
Marjorie,18,13,15,17,13,15,17,17,16,19,18,16,23,17,17,20
Aaron,15,18,17,20,18,17,21,22,15,22,14,10,23,25,20,20
Mauie,18,16,15,19,17,12,17,19,17,24,16,17,19,21,19,19
Raymond,15,21,17,15,12,17,21,13,16,22,14,16,17,16,21,21
Gabrielle,22,19,20,22,17,19,20,21,21,23,21,18,21,18,22,19
Ayah,18,16,20,18,18,19,23,23,18,23,22,17,25,21,25,22
PJ,21,19,20,18,19,19,19,22,16,24,22,18,22,19,23,17
Pastor Feddie,18,18,21,16,16,17,16,13,16,20,10,14,20,17,23,18
Andong,19,19,15,19,18,18,15,18,14,20,14,17,18,12,18,20
Ajeys,15,20,21,19,15,20,13,14,13,16,11,12,13,10,17,13
Cyrus,13,12,10,11,11,7,12,15,10,13,11,12,18,17,17,9
Andrey,21,18,22,19,21,22,21,23,23,22,20,23,24,21,21,24
Romela,18,10,14,15,20,17,17,21,19,21,19,15,21,9,23,23
Emmanuel,18,17,14,15,17,11,19,16,12,21,13,15,16,19,17,20
Cyrell,14,15,18,20,17,16,15,19,21,21,11,15,17,15,15,18
Rachelle,15,20,17,14,16,12,16,20,13,23,13,14,20,21,16,14
Joanna,19,15,19,19,16,19,19,20,17,21,15,16,22,21,18,17
Cindy,14,16,14,16,16,14,15,14,12,21,12,9,17,16,14,19
Glaiza,15,14,13,14,14,12,16,15,13,18,13,14,17,15,19,19
Rovina,14,17,18,19,16,17,18,17,16,23,17,13,19,20,15,22
Mama Pom,22,21,21,19,19,20,21,24,25,22,23,22,24,20,25,25
Russell,15,19,20,20,13,11,16,16,11,17,10,12,20,20,23,17
Pastor Ruel,21,23,24,20,21,24,22,25,25,24,25,24,25,25,23,25
